2021-06-16T09:36:53.364Z [AUDIT] Token created by 'jffe@000': tokenId='89f4b24f-5edf-4e66-95b7-8339c5159708', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623836813364, refreshable=false
2021-06-16T09:40:53.990Z [AUDIT] Token created by 'jffe@000': tokenId='af79c6b8-0961-4231-9afa-b71ba32418bf', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623837053989, refreshable=false
2021-06-16T09:46:53.488Z [AUDIT] Token created by 'jffe@000': tokenId='fefce654-9e5d-4db0-85d6-3c6806c3978d', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623837413488, refreshable=false
2021-06-16T09:46:53.488Z [AUDIT] Token created by 'jffe@000': tokenId='cbdbc09b-dfca-4020-b9b9-80c5c6e6c01d', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623837413488, refreshable=false
2021-06-16T09:46:53.490Z [AUDIT] Token created by 'jffe@000': tokenId='fde03dbd-ab95-4143-83c2-40f9b9409c60', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623837413490, refreshable=false
2021-06-16T09:50:53.987Z [AUDIT] Token created by 'jffe@000': tokenId='62344561-3c61-4e86-bf58-1a68678ccae4', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623837653986, refreshable=false
2021-06-16T09:56:53.536Z [AUDIT] Token created by 'jffe@000': tokenId='e70e51b8-abc0-454e-8396-75f65626bb4a', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623838013536, refreshable=false
2021-06-16T09:56:53.536Z [AUDIT] Token created by 'jffe@000': tokenId='da557d3a-7597-4ef3-a3c4-190bf5f93c47', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623838013536, refreshable=false
2021-06-16T09:56:53.540Z [AUDIT] Token created by 'jffe@000': tokenId='9248dbbd-a38a-43ff-983a-16bfb00bb02d', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623838013540, refreshable=false
2021-06-16T09:57:54.086Z [AUDIT] Token created by 'jffe@000': tokenId='3e173c16-92fe-4147-9eeb-16ad216e15b5', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623839274084, refreshable=true
2021-06-16T09:57:54.134Z [AUDIT] Token created by 'jffe@000': tokenId='b8d1a94d-1457-4be8-890d-75dfce0d11d6', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623838074134, refreshable=false
2021-06-16T10:06:53.612Z [AUDIT] Token created by 'jffe@000': tokenId='b5f1ddba-1368-4185-9a3d-75bfcdd677d5', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623838613612, refreshable=false
2021-06-16T10:06:53.613Z [AUDIT] Token created by 'jffe@000': tokenId='5038d2fd-b5df-40f1-9841-e9fbb049d889', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623838613613, refreshable=false
2021-06-16T10:06:53.616Z [AUDIT] Token created by 'jffe@000': tokenId='0a2a1014-a584-4b85-bf60-79c57b6b0b02', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623838613616, refreshable=false
2021-06-16T10:07:54.020Z [AUDIT] Token created by 'jffe@000': tokenId='2f0e1d01-751b-4a43-b0be-2820bed33cfb', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623838674020, refreshable=false
2021-06-16T10:16:53.714Z [AUDIT] Token created by 'jffe@000': tokenId='d88597d8-dd29-415c-a426-1f186edee61f', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623839213714, refreshable=false
2021-06-16T10:16:53.714Z [AUDIT] Token created by 'jffe@000': tokenId='276fc8fd-5cf4-4af6-9d89-e2b9ac3c31ce', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623839213714, refreshable=false
